Question,Translated Question (Ko),GPT-3.5 Answer to Translated Question (Ko),GPT-3.5 Answer,Translated back GPT-3.5 Answer (En),Answer Key,Cosine Similarity,Choices
"Discovering truth would come during what part of serious research? Choose the correct answer from the following options: 'A': 'sick', 'B': 'pain', 'C': 'conclusion', 'D': 'relief', 'E': 'happiness'","진지한 연구의 과정에서 진실을 발견하는 것은 어떤 부분인가요? 다음 옵션 중 올바른 답을 선택하십시오: 'A': '아픈', 'B': '고통', 'C': '결론', 'D': '안도', 'E': '행복'",: 'C': '결론',C: conclusion,'C': 'Conclusion',C,0.8962482,"[{'label': 'A', 'text': 'sick'}, {'label': 'B', 'text': 'pain'}, {'label': 'C', 'text': 'conclusion'}, {'label': 'D', 'text': 'relief'}, {'label': 'E', 'text': 'happiness'}]"
"John joined the army because he wanted to see the world.  When the fighting started, he only saw what sort of things? Choose the correct answer from the following options: 'A': 'fort', 'B': 'orphans', 'C': 'battlefield', 'D': 'other countries', 'E': 'war'","존은 세계를 보고 싶어서 군대에 들어갔다. 전투가 시작되면서, 그는 어떤 것들을 보았는가? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '요새', 'B': '고아', 'C': '전장', 'D': '다른 나라', 'E': '전쟁' - C: '전장'",정답은 'C': '전장' 입니다. 전투가 시작되면 전장에서 전쟁과 관련된 모든 것들을 보게 될 것입니다.,C: battlefield,"The answer is 'C': 'battlefield'. When the battle begins, you will see everything related to war on the battlefield.",C,0.6763145,"[{'label': 'A', 'text': 'fort'}, {'label': 'B', 'text': 'orphans'}, {'label': 'C', 'text': 'battlefield'}, {'label': 'D', 'text': 'other countries'}, {'label': 'E', 'text': 'war'}]"
"The previous hotel was bad, so what did the pleased visitor think of the hotel? Choose the correct answer from the following options: 'A': 'badarse', 'B': 'adequate', 'C': 'propitious', 'D': 'first rate', 'E': 'manual'","이전 호텔은 나빴으니, 만족스러운 방문객은 이 호텔을 어떻게 생각했나요? 다음 옵션 중에서 올바른 답을 선택하세요: 'A': '나쁜 무릎', 'B': '충분한', 'C': '길조의', 'D': '일류', 'E': '수동'",D: '일류',D: 'first rate',D: 'First class',B,0.61553025,"[{'label': 'A', 'text': 'badarse'}, {'label': 'B', 'text': 'adequate'}, {'label': 'C', 'text': 'propitious'}, {'label': 'D', 'text': 'first rate'}, {'label': 'E', 'text': 'manual'}]"
"Where would a policeman be most likely to stop a car? Choose the correct answer from the following options: 'A': 'the park', 'B': 'police station', 'C': 'front door', 'D': 'roadblock', 'E': 'street'","경찰은 차를 가장 자주 어디에서 멈출 것인가요? 다음 옵션 중 올바른 답을 선택하십시오: 'A': '공원', 'B': '경찰서', 'C': '현관', 'D': '도로 통제', 'E': '거리'",D: '도로 통제',D: roadblock,D: 'road control',D,0.6362933,"[{'label': 'A', 'text': 'the park'}, {'label': 'B', 'text': 'police station'}, {'label': 'C', 'text': 'front door'}, {'label': 'D', 'text': 'roadblock'}, {'label': 'E', 'text': 'street'}]"
"What is a kind of literature? Choose the correct answer from the following options: 'A': 'newspaper', 'B': 'books and magazines', 'C': 'own home', 'D': 'public library', 'E': 'good homes'","어떤 종류의 문학입니다? 다음 옵션에서 올바른 답을 선택하세요: 'A': '신문', 'B': '책과 잡지', 'C': '자신의 집', 'D': '공공 도서관', 'E': '좋은 집'",B: '책과 잡지',B: books and magazines,"B: ""Books and magazines""",B,0.9509714,"[{'label': 'A', 'text': 'newspaper'}, {'label': 'B', 'text': 'books and magazines'}, {'label': 'C', 'text': 'own home'}, {'label': 'D', 'text': 'public library'}, {'label': 'E', 'text': 'good homes'}]"
"Bob raised the curtain and people descended upon him like a hoard.  He regretted his job on this of all days. Where does Bob work? Choose the correct answer from the following options: 'A': 'theater', 'B': 'show', 'C': 'house', 'D': 'a stage hand', 'E': 'department store'","밥은 커튼을 올리고 사람들이 떼로 내려와서 그를 둘러싸았다. 그는 모든 날중에 이런 일이 생겨서 자신의 직업을 후회했다. 밥은 어디에서 일하나요? 다음 옵션에서 올바른 대답을 선택하십시오: 'A': '극장', 'B': '쇼', 'C': '집', 'D': '소개인', 'E': '백화점'",A: 극장,A: theater,A: Theater,E,1.0000001,"[{'label': 'A', 'text': 'theater'}, {'label': 'B', 'text': 'show'}, {'label': 'C', 'text': 'house'}, {'label': 'D', 'text': 'a stage hand'}, {'label': 'E', 'text': 'department store'}]"
"If proof is found of someone killing people they will likely receive a long what? Choose the correct answer from the following options: 'A': 'going to jail', 'B': 'jailed', 'C': 'punishment', 'D': 'feelings of guilt', 'E': 'prison sentence'","만약 누군가가 살인을 저질렀음을 입증한다면 그들은 아마도 ""E"": serving a prison sentence""을 받게 될 것입니다.",더 진보된 국가들은 사형 형벌을 받을 수도 있습니다.,E: prison sentence,More advanced countries may also receive capital punishment.,E,0.32607165,"[{'label': 'A', 'text': 'going to jail'}, {'label': 'B', 'text': 'jailed'}, {'label': 'C', 'text': 'punishment'}, {'label': 'D', 'text': 'feelings of guilt'}, {'label': 'E', 'text': 'prison sentence'}]"
"What kind of building would you expect to find a skylight? Choose the correct answer from the following options: 'A': 'roof', 'B': 'house', 'C': 'windowless room', 'D': 'company', 'E': 'office building'","어떤 종류의 건물에서 창문천장을 기대하시겠어요? 다음 중 올바른 답을 선택하십시오. 
'A': '지붕', 
'B': '집', 
'C': '창문이 없는 방', 
'D': '회사', 
'E': '사무실 건물'",'E': '사무실 건물',E: office building,'E': 'Office building',B,0.9270868,"[{'label': 'A', 'text': 'roof'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'windowless room'}, {'label': 'D', 'text': 'company'}, {'label': 'E', 'text': 'office building'}]"
"What do all people have at first but later might not have? Choose the correct answer from the following options: 'A': 'mentality', 'B': 'feelings', 'C': 'muscles', 'D': 'brains', 'E': 'parents'","가장 먼저 모든 사람이 가지고 있지만 나중에 없을 수도 있는 것은 무엇입니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '멘탈', 'B': '감정', 'C': '근육', 'D': '뇌', 'E': '부모' 

답: E. 부모",.,'E': 'parents',"I'm sorry, there is no Korean text provided to translate. Please provide the Korean text you would like to have translated. Thank you!",E,0.1777089,"[{'label': 'A', 'text': 'mentality'}, {'label': 'B', 'text': 'feelings'}, {'label': 'C', 'text': 'muscles'}, {'label': 'D', 'text': 'brains'}, {'label': 'E', 'text': 'parents'}]"
"What can a child do to quietly pass the time? Choose the correct answer from the following options: 'A': 'brood', 'B': 'read book', 'C': 'become adult', 'D': 'ask questions', 'E': 'clean room'","어떻게 아이가 조용히 시간을 보낼 수 있을까요? 다음 옵션에서 올바른 대답을 골라보세요: 'A': '생각에 잠기다', 'B': '책 읽기', 'C': '성인이 되다', 'D': '질문하다', 'E': '방 정리하기'",'B': '책 읽기',The correct answer is: 'B': 'read book','B': 'Reading books',B,0.84944016,"[{'label': 'A', 'text': 'brood'}, {'label': 'B', 'text': 'read book'}, {'label': 'C', 'text': 'become adult'}, {'label': 'D', 'text': 'ask questions'}, {'label': 'E', 'text': 'clean room'}]"
"Jealousy led to the best contestant actually having scorecards lower, afterwards the what was investigated for their score given? Choose the correct answer from the following options: 'A': 'love else', 'B': 'wage war', 'C': 'ocean', 'D': 'compete', 'E': 'judge'","질투로 인해 실제로 가장 우수한 참가자가 점수판이 낮아졌고, 그 후에는 그들의 점수에 대해 조사되었습니다.
정답: E. 심사하다 (judge)","질투로 인해 실제로 가장 우수한 참가자가 점수판이 낮아졌고, 그 후에는 그들의 점수에 대해 조사되었습니다. 처음에는 가장 우수한 참가자였지만 질투 때문에 실제로 가장 좋았던 참가자로부터 가장 낮은 점수를 받았고, 그 후에는 그들의 점수에 대해 심사가 되었습니다.",The correct answer is 'E': 'judge',"Due to jealousy, the actual best participant's score dropped, and then their scores were investigated. At first, they were the best participant, but due to jealousy, they received the lowest score from the actual best participant, and then their scores were judged.",E,0.20200932,"[{'label': 'A', 'text': 'love else'}, {'label': 'B', 'text': 'wage war'}, {'label': 'C', 'text': 'ocean'}, {'label': 'D', 'text': 'compete'}, {'label': 'E', 'text': 'judge'}]"
"The person preferred going to the farmer's market over the grocery store, why? Choose the correct answer from the following options: 'A': 'acknowledgment', 'B': 'price', 'C': 'fresh produce', 'D': 'smooth skin', 'E': 'good credit'","그 사람은 식료품점보다 농부 시장에 가는 것을 선호했습니다, 왜? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '인정', 'B': '가격', 'C': '신선한 농산물', 'D': '부드러운 피부', 'E': '좋은 신용' (C': '신선한 농산물')",.,C: 'fresh produce',"I'm sorry, it appears that there is no Korean text provided to translate to English. Please provide the Korean text and I will be happy to help you with the translation.",C,0.029998964,"[{'label': 'A', 'text': 'acknowledgment'}, {'label': 'B', 'text': 'price'}, {'label': 'C', 'text': 'fresh produce'}, {'label': 'D', 'text': 'smooth skin'}, {'label': 'E', 'text': 'good credit'}]"
