Question,Translated Question (Ko),GPT-3.5 Answer to Translated Question (Ko),GPT-3.5 Answer,Translated back GPT-3.5 Answer (En),Answer Key,Cosine Similarity,Choices
"where did mendeleev died? Choose the correct answer from the following options: 'A': 'Saint Petersburg', 'B': 'Herceg Novi', 'C': 'Koshizuka', 'D': 'Huedin', 'E': 'La Colonia Tovar'","멘델레예프가 어디에서 죽었나요? 다음 옵션 중 올바른 답을 선택하십시오: 'A': '산크트 페테르부르크', 'B': '헤르체그 노비', 'C': '코시즈카', 'D': '휘딘', 'E': '라 코로니아 토바르'",B: 헤르체그 노비,'A': 'Saint Petersburg',B: Herzegovina slave,A,0.2701877,"{'A': 'Saint Petersburg', 'B': 'Herceg Novi', 'C': 'Koshizuka', 'D': 'Huedin', 'E': 'La Colonia Tovar'}"
"where christopher columbus was born? Choose the correct answer from the following options: 'A': 'Genoa', 'B': 'Rushall', 'C': 'Thu Dau Mot', 'D': 'Patzcuaro', 'E': 'Tabant'","크리스토퍼 콜럼버스가 태어난 곳은 어디입니까? 다음 옵션 중 올바른 답을 고르십시오: 'A': '제노아', 'B': '러셀', 'C': '씨도 바우 못', 'D': '파츠쿠아로', 'E': '타반트'",정답은 'A': '제노아' 입니다.,A: Genoa,The answer is 'A': 'Genoa'.,A,0.8156302,"{'A': 'Genoa', 'B': 'Rushall', 'C': 'Thu Dau Mot', 'D': 'Patzcuaro', 'E': 'Tabant'}"
"where is fiat abarth made? Choose the correct answer from the following options: 'A': 'Turin', 'B': 'Impruneta', 'C': 'Togane', 'D': 'Sabang', 'E': 'Deyr'","피아트 아바르는 어디에서 생산되나요? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '투린', 'B': '임프루네타', 'C': '토가네', 'D': '사방', 'E': '데이르'",정답은 'A': '투린'입니다.,A: 'Turin',The answer is 'A': 'Turing.',A,0.36300325,"{'A': 'Turin', 'B': 'Impruneta', 'C': 'Togane', 'D': 'Sabang', 'E': 'Deyr'}"
"where do haitian people come from? Choose the correct answer from the following options: 'A': 'Haiti', 'B': 'Khowrmuj', 'C': 'Flores', 'D': 'Sierning', 'E': 'Meishan'","하이티 사람들은 어디에서 왔나요? 다음 옵션 중에서 올바른 답을 선택하세요: 'A': '하이티', 'B': '크오르무이', 'C': '플로레스', 'D': '지에닝', 'E': '메이산'",정답은 'B': '크오르무이' 입니다.,A: Haiti,The answer is 'B': 'croissants'.,A,0.26364964,"{'A': 'Haiti', 'B': 'Khowrmuj', 'C': 'Flores', 'D': 'Sierning', 'E': 'Meishan'}"
"where was gabriel faure born? Choose the correct answer from the following options: 'A': 'France', 'B': 'Tangjin', 'C': 'Telkapalli', 'D': 'Gueoul', 'E': 'Xingji'","가브리엘 포레는 어디에서 태어났나요? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '프랑스', 'B': '탕진', 'C': '텔카팔리', 'D': '구엘', 'E': '싱지'",정답은 'A': '프랑스' 입니다.,The correct answer is 'A': France. Gabriel Faure was born in France.,The correct answer is 'A': 'France'.,A,0.6683656,"{'A': 'France', 'B': 'Tangjin', 'C': 'Telkapalli', 'D': 'Gueoul', 'E': 'Xingji'}"
"where does the panama canal run through? Choose the correct answer from the following options: 'A': 'Panama Canal Zone', 'B': 'Pijino del Carmen', 'C': 'Midwest City', 'D': 'Yangiariq', 'E': 'Fondettes'","파나마 운하는 어디를 통과합니까? 다음 옵션 중에서 올바른 답을 선택하십시오. 'A': '파나마 운하 지역', 'B': '피지노 델 카르멘', 'C': '미들웨스트 시티', 'D': '양그아락', 'E': '폰데트'",정답은 'A': '파나마 운하 지역'입니다.,A: Panama Canal Zone,The answer is 'A': 'Panama Canal Zone.',A,0.88547426,"{'A': 'Panama Canal Zone', 'B': 'Pijino del Carmen', 'C': 'Midwest City', 'D': 'Yangiariq', 'E': 'Fondettes'}"
"where does kaka live? Choose the correct answer from the following options: 'A': 'Brazil', 'B': 'Petit-Trou de Nippes', 'C': 'Bournville', 'D': 'South Kensington', 'E': 'Nkoteng'","카카는 어디에 살까요? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '브라질', 'B': '풋트트루 드 니프', 'C': '보른빌', 'D': '사우스 켄싱턴', 'E': '엔코텡'",'B': '풋트트루 드 니프',A: Brazil,"""B"": ""Foot through the knife""",A,0.16889723,"{'A': 'Brazil', 'B': 'Petit-Trou de Nippes', 'C': 'Bournville', 'D': 'South Kensington', 'E': 'Nkoteng'}"
"where did joe namath attend college? Choose the correct answer from the following options: 'A': 'University of Alabama', 'B': 'Yesilhisar', 'C': 'Takaharu', 'D': 'Vakon', 'E': 'Pulheim'","조 나메스는 어느 대학에 다녔습니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '앨라배마 대학교', 'B': '예실히사르', 'C': '타카하루', 'D': '바콘', 'E': '풀하임'",A: 앨라배마 대학교,A: University of Alabama,A: University of Alabama,A,0.9999998,"{'A': 'University of Alabama', 'B': 'Yesilhisar', 'C': 'Takaharu', 'D': 'Vakon', 'E': 'Pulheim'}"
"where is george bush from? Choose the correct answer from the following options: 'A': 'New Haven', 'B': 'Chiautla de Tapia', 'C': 'Weehawken', 'D': 'Honcho', 'E': 'Weissenfels'","조지 부시는 어디 출신입니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '뉴 헤이븐', 'B': '치아우틀라 데 타피아', 'C': '위후컨', 'D': '헌초', 'E': '바이센펠스'",A: 뉴 헤이븐,A: New Haven,A: New Haven,A,1.0,"{'A': 'New Haven', 'B': 'Chiautla de Tapia', 'C': 'Weehawken', 'D': 'Honcho', 'E': 'Weissenfels'}"
"where did galileo go to school? Choose the correct answer from the following options: 'A': 'University of Pisa', 'B': 'Chinnamandem', 'C': 'Virappanchathiram', 'D': 'Huntington', 'E': 'Bechar'","갈릴레오는 어디에서 공부했나요? 다음 옵션 중에서 옳은 답을 고르십시오: 'A': 'University of Pisa', 'B': 'Chinnamandem', 'C': 'Virappanchathiram', 'D': 'Huntington', 'E': 'Bechar'",'A': 'University of Pisa',A: University of Pisa,University of Pisa,A,0.9361046,"{'A': 'University of Pisa', 'B': 'Chinnamandem', 'C': 'Virappanchathiram', 'D': 'Huntington', 'E': 'Bechar'}"
"where did nick clegg go to prep school? Choose the correct answer from the following options: 'A': 'Caldicott School', 'B': 'Isehara', 'C': 'Everswinkel', 'D': 'Gaoua', 'E': 'Brakpan'","닉 클레그가 사설 학교에 다니기 시작한 곳은 어디입니까? 다음 옵션 중 올바른 답을 선택하십시오: 'A': '캘디코트 스쿨', 'B': '이세하라', 'C': '에버스윙켈', 'D': '가우아', 'E': '브락판'",'A': '캘디코트 스쿨',A: Caldicott School,'A': 'Kaldi Coat School',A,0.40466195,"{'A': 'Caldicott School', 'B': 'Isehara', 'C': 'Everswinkel', 'D': 'Gaoua', 'E': 'Brakpan'}"
"where the seneca indians lived? Choose the correct answer from the following options: 'A': 'New York', 'B': 'Thabazimbi', 'C': 'Hyrum', 'D': 'Vegachi', 'E': 'Douar Oulad Bouziane'","센카 인디언들이 살았던 곳은 어디인가요? 다음의 옵션에서 올바른 답을 고르세요: 'A': '뉴욕', 'B': '타바지미비', 'C': '하이럼', 'D': '베가치', 'E': '두아르 울라드 부지안'.",정답은 'B': '타바지미비'입니다.,A: New York,The answer is 'B': 'missing T-shirt'.,A,0.24826235,"{'A': 'New York', 'B': 'Thabazimbi', 'C': 'Hyrum', 'D': 'Vegachi', 'E': 'Douar Oulad Bouziane'}"
"where did the casey anthony case take place? Choose the correct answer from the following options: 'A': 'Orlando', 'B': 'Tangier', 'C': 'Villamaria', 'D': 'Chitose', 'E': 'Thorigny-sur-Marne'","케이시 앤써니 사건이 어디에서 발생했습니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '오를란도', 'B': '탱지에', 'C': '빌라마리아', 'D': '치토세', 'E': '토리니-쉬르-마른'",정답은 'A': '오를란도' 입니다.,A: Orlando,The answer is 'A': 'Orlando'.,A,0.7972031,"{'A': 'Orlando', 'B': 'Tangier', 'C': 'Villamaria', 'D': 'Chitose', 'E': 'Thorigny-sur-Marne'}"
"where was the battle of vicksburg held? Choose the correct answer from the following options: 'A': 'Warren County', 'B': 'Bay Village', 'C': 'Chornomorske', 'D': 'Mataquescuintla', 'E': 'Senahu'","빅스버그 전투는 어디에서 열렸습니까? 다음 옵션에서 올바른 답을 선택하십시오: 'A': 'Warren County', 'B': 'Bay Village', 'C': 'Chornomorske', 'D': 'Mataquescuintla', 'E': 'Senahu'",정답은 'C': 'Chornomorske'입니다.,"The correct answer is A: Warren County. The Battle of Vicksburg was held in Warren County, Mississippi.",The answer is 'C': 'Chornomorske'.,A,0.111743845,"{'A': 'Warren County', 'B': 'Bay Village', 'C': 'Chornomorske', 'D': 'Mataquescuintla', 'E': 'Senahu'}"
"where does the philadelphia union soccer team play? Choose the correct answer from the following options: 'A': 'PPL Park', 'B': 'Pata Kalidindi', 'C': 'Simri Bakhriarpur', 'D': 'Koduru', 'E': 'Yame'","필라델피아 유니온 축구팀은 어디에서 경기를 하나요? 다음 옵션 중에서 올바른 답을 고르세요: 'A': 'PPL Park', 'B': 'Pata Kalidindi', 'C': 'Simri Bakhriarpur', 'D': 'Koduru', 'E': 'Yame'",'A': 'PPL Park',A: PPL Park,'A': 'PPL Park',A,0.93201053,"{'A': 'PPL Park', 'B': 'Pata Kalidindi', 'C': 'Simri Bakhriarpur', 'D': 'Koduru', 'E': 'Yame'}"
"where is the thames river located? Choose the correct answer from the following options: 'A': 'London', 'B': 'Hazel Crest', 'C': 'Le Raincy', 'D': 'Coatbridge', 'E': 'Vilnohirsk'","템스 강은 어디에 위치하고 있습니까? 다음 중 올바른 답을 선택하십시오: 'A': '런던', 'B': '헤이젤 크레스트', 'C': '르랭시', 'D': '코트브리지', 'E': '빌노히르스크'",B: 헤이젤 크레스트,A: London,B: Heyzel Crest,A,0.347467,"{'A': 'London', 'B': 'Hazel Crest', 'C': 'Le Raincy', 'D': 'Coatbridge', 'E': 'Vilnohirsk'}"
"where did saki live? Choose the correct answer from the following options: 'A': 'United Kingdom', 'B': 'Mansidao', 'C': 'Shakhty', 'D': 'Feilding', 'E': 'Herencia'","사키는 어디에 살았니? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A' : '영국', 'B' : '만시다오', 'C' : '샤흐티', 'D' : '피딩', 'E' : '에렌시아'",B: 만시다오,"The correct answer is 'A': 'United Kingdom'. Saki, the author, lived in the United Kingdom.",B: Mansidao,A,0.1818575,"{'A': 'United Kingdom', 'B': 'Mansidao', 'C': 'Shakhty', 'D': 'Feilding', 'E': 'Herencia'}"
"where did the battle of the alamo start? Choose the correct answer from the following options: 'A': 'San Antonio', 'B': 'Vila do Conde', 'C': 'Santo Domingo Xenacoj', 'D': 'Itape', 'E': 'Sundararaopeta'",알라모 전투는 어디에서 시작되었습니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '산 안토니오','A': '산 안토니오',A: San Antonio,'A': 'San Antonio',A,0.9256854,"{'A': 'San Antonio', 'B': 'Vila do Conde', 'C': 'Santo Domingo Xenacoj', 'D': 'Itape', 'E': 'Sundararaopeta'}"
"where did dolly parton grew up? Choose the correct answer from the following options: 'A': 'Sevierville', 'B': 'Meiti', 'C': 'Sao Tome', 'D': 'Bad Wurzach', 'E': 'San Marcos'","다리 파튼이 어디에서 자랐나요?
옵션 중에서 올바른 답은 'A': '세비어빌(Sevierville)'입니다.",A: 세비어빌(Sevierville),"The correct answer is 'A': Sevierville. Dolly Parton grew up in Sevierville, Tennessee.",A: Sevierville,A,0.57003164,"{'A': 'Sevierville', 'B': 'Meiti', 'C': 'Sao Tome', 'D': 'Bad Wurzach', 'E': 'San Marcos'}"
"where did audie murphy grow up? Choose the correct answer from the following options: 'A': 'Texas', 'B': 'Clermont-l'Herault', 'C': 'Montmagny', 'D': 'Ricaurte', 'E': 'Southport'","오디 머피가 어디에서 자랐습니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '텍사스', 'B': '클레몽 르에로', 'C': '몽마뉴', 'D': '리카우르테', 'E': '사우스포트'",B: 클레몽 르에로,A: Texas,B: Clemont L'Héro,A,0.16275865,"{'A': 'Texas', 'B': ""Clermont-l'Herault"", 'C': 'Montmagny', 'D': 'Ricaurte', 'E': 'Southport'}"
"where was brad paisley born and raised? Choose the correct answer from the following options: 'A': 'Glen Dale', 'B': 'Saharbani', 'C': 'Fidenza', 'D': 'El Astillero', 'E': 'Qingyang'","브랴드 페이즐리가 태어나고 자란 곳은 어디입니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': 'Glen Dale', 'B': 'Saharbani', 'C': 'Fidenza', 'D': 'El Astillero', 'E': 'Qingyang'",답: 'A': 'Glen Dale',A: Glen Dale,Answer: 'A': 'Glen Dale',A,0.9109615,"{'A': 'Glen Dale', 'B': 'Saharbani', 'C': 'Fidenza', 'D': 'El Astillero', 'E': 'Qingyang'}"
"where did english numbers originate from? Choose the correct answer from the following options: 'A': 'Latin alphabet', 'B': 'Des Moines', 'C': 'Westervoort', 'D': 'Hengshuicun', 'E': 'Santa Teresa del Tuy'","영어 숫자는 어디에서 유래했습니까? 다음 옵션 중에서 올바른 답을 선택하십시오: 'A': '라틴 알파벳', 'B': '데모인', 'C': '웨스터보르트', 'D': '헝수 촌', 'E': '산타 테레사 델 투이'",'C': '웨스터보르트',A: Latin alphabet,"'웨스터보르트' is ""Westenborg"" in English.",A,0.25072882,"{'A': 'Latin alphabet', 'B': 'Des Moines', 'C': 'Westervoort', 'D': 'Hengshuicun', 'E': 'Santa Teresa del Tuy'}"
"where did jack johnson go to high school? Choose the correct answer from the following options: 'A': 'Kahuku High & Intermediate School', 'B': 'Labutta', 'C': 'Thakurainia', 'D': 'Trenton', 'E': 'Glan'","잭 존슨은 어디 고등학교를 다녔나요? 다음 옵션 중에서 옳은 답을 고르세요: 'A': '카후쿠 고등 및 중학교', 'B': '라부타', 'C': '타쿠라니아', 'D': '트렌턴', 'E': '글란'",정답은 'A': '카후쿠 고등 및 중학교'입니다.,A: Kahuku High & Intermediate School,The answer is 'A': 'Kahuku High and Intermediate School'.,A,0.874987,"{'A': 'Kahuku High & Intermediate School', 'B': 'Labutta', 'C': 'Thakurainia', 'D': 'Trenton', 'E': 'Glan'}"
"where was president lyndon johnson from? Choose the correct answer from the following options: 'A': 'Austin', 'B': 'Posadas', 'C': 'Namegata', 'D': 'Cagua', 'E': 'Leeds and the Thousand Islands'","린든 존슨 대통령은 어디에서 왔습니까? 다음 옵션 중에서 옳은 대답을 고르십시오: 'A': '오스틴', 'B': '포사다스', 'C': '나메가타', 'D': '카구아', 'E': '리즈 앤 더 써우젠드 아일랜드'",정답은 'A': '오스틴'입니다.,"The correct answer is 'A': 'Austin'. President Lyndon Johnson was from Austin, Texas.",The answer is 'A': 'Austin'.,A,0.73316234,"{'A': 'Austin', 'B': 'Posadas', 'C': 'Namegata', 'D': 'Cagua', 'E': 'Leeds and the Thousand Islands'}"
